V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
152,0,1,2,6,2,2,3,4,32,1,8,1,3,0,1,
153,0,1,2,8,3,2,3,2,57,1,7,2,8,8,2,
154,0,2,2,8,2,2,3,3,35,1,6,2,8,8,2,
155,0,2,2,3,2,2,3,3,23,2,5,1,0,0,2,
156,0,2,3,5,2,2,1,4,26,1,7,1,0,0,2,
157,0,1,1,2,2,2,1,2,64,1,6,1,1,0,2,
158,3,2,1,2,2,2,1,3,58,1,6,2,8,8,2,
159,3,2,1,2,2,2,1,3,58,1,5,2,8,8,2,
160,3,1,1,4,3,2,1,0,60,1,6,2,8,8,2,
161,3,2,1,4,2,2,1,3,54,1,5,2,8,8,2,
162,5,2,2,5,2,2,2,8,30,1,3,2,8,8,1,
163,5,2,3,3,2,2,2,1,20,1,1,2,8,8,2,
164,5,2,3,4,4,2,2,4,57,1,6,3,9,9,2,
165,5,1,3,4,3,2,2,1,68,1,1,2,8,8,2,
166,5,1,3,8,6,2,2,1,54,1,1,3,9,9,1,
167,5,2,1,5,3,2,2,4,39,1,3,3,9,9,2,
168,5,2,3,2,2,2,2,1,74,1,1,2,8,8,2,
169,6,1,0,2,2,2,1,6,66,1,6,2,8,8,2,
170,6,1,0,5,3,2,1,4,25,1,4,1,0,0,1,
171,6,2,0,8,6,1,2,3,18,1,5,1,0,0,1,
172,6,1,0,8,6,1,2,4,20,1,5,2,8,8,1,
173,6,2,0,6,4,2,2,1,52,1,5,1,1,0,1,
174,6,1,0,6,4,1,1,3,22,1,5,1,4,2,1,
175,6,1,0,2,2,2,1,2,48,1,4,1,7,0,2,
176,6,2,0,2,2,2,1,3,65,1,4,1,1,0,2,
177,6,1,0,2,2,2,1,3,28,1,3,1,0,0,2,
178,6,1,0,3,3,2,1,3,24,1,5,1,0,0,1,
179,6,1,0,3,2,2,1,3,18,2,1,1,0,0,2,
180,6,1,0,1,1,1,1,2,20,2,3,1,1,0,1,
181,6,1,0,2,2,2,1,4,60,1,3,2,8,8,1,
182,6,2,0,4,2,2,3,5,28,1,8,1,1,0,2,
183,6,2,0,4,2,2,1,4,30,1,5,2,8,8,1,
184,6,1,0,4,3,2,1,4,59,1,8,1,7,0,2,
185,6,2,0,4,2,2,1,4,33,1,8,1,3,0,1,
186,6,2,0,2,2,2,3,4,57,1,5,1,1,0,1,
187,6,1,0,3,3,2,1,3,64,2,5,1,0,0,2,
188,6,2,0,2,2,2,1,3,64,2,4,2,8,8,2,
189,6,2,0,1,1,1,1,7,35,2,4,1,2,0,2,
190,6,2,0,1,1,3,1,3,56,2,4,1,2,0,2,
191,6,2,0,1,1,1,2,7,38,2,4,1,2,0,1,
192,6,2,0,2,2,2,1,3,73,2,5,1,1,0,2,
193,6,2,0,4,4,2,1,1,42,1,7,1,1,0,1,
194,6,2,0,3,2,2,1,3,46,2,6,1,7,0,1,
195,6,2,0,3,3,2,1,7,60,1,8,1,4,0,2,
196,6,2,0,1,1,3,1,3,65,1,5,1,1,0,1,
197,6,1,0,2,2,2,1,7,59,1,8,1,1,0,1,
198,6,2,0,5,3,2,2,7,42,1,5,1,2,0,1,
199,8,2,0,2,2,2,3,2,65,1,3,1,0,0,2,
200,8,1,0,1,1,3,1,2,76,1,4,1,0,0,1,
201,8,1,0,2,2,2,3,2,70,1,4,1,1,0,1,
202,8,1,0,2,2,1,1,2,23,2,2,1,5,5,1,
203,8,2,0,3,3,2,3,2,63,1,5,1,0,0,1,
204,3,1,0,4,4,1,1,4,33,1,4,2,8,8,1,
205,3,2,0,2,2,2,1,3,70,1,4,2,8,8,2,
206,3,2,0,3,3,1,1,7,58,1,5,2,8,8,1,
207,3,1,0,7,4,1,1,3,16,1,4,2,8,8,1,
208,3,1,0,7,4,1,1,3,19,1,4,2,8,8,1,
209,6,2,0,4,2,2,1,3,28,2,2,1,0,0,2,
210,6,1,0,2,2,1,1,3,31,2,3,1,1,0,1,
211,6,1,0,2,2,2,1,6,35,2,2,2,8,8,2,
212,6,1,0,2,2,2,1,2,42,2,2,1,2,0,2,
213,6,2,0,4,2,1,1,3,16,2,2,2,8,8,2,
214,6,1,0,2,2,2,1,3,24,2,3,1,7,7,1,
215,6,1,0,1,1,1,1,3,53,2,3,1,3,0,2,
216,6,1,0,4,2,2,3,6,35,2,6,1,1,0,1,
217,6,2,0,4,4,2,1,4,52,1,5,1,1,0,1,
218,6,2,0,2,2,1,1,5,44,1,5,1,2,0,1,
219,6,2,0,3,2,2,1,5,66,1,4,1,0,0,2,
220,6,1,0,3,3,2,1,3,54,1,5,1,0,0,1,
221,6,2,0,2,2,2,1,4,65,2,5,1,0,0,2,
